task_id,occupation,task_text
6624,"Career/Technical Education Teachers, Middle School","Confer with parents or guardians, other teachers, counselors, and administrators to resolve students' behavioral and academic problems."
9743,"Eligibility Interviewers, Government Programs",Provide social workers with pertinent information gathered during applicant interviews.
1147,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Negotiate, renegotiate, and administer contracts with suppliers, vendors, and other representatives."
1772,Public Relations Specialists,Coach client representatives in effective communication with the public or with employees.
21451,Compliance Officers,"Confer with or interview officials, technical or professional specialists, or applicants to obtain information or to clarify facts relevant to licensing decisions."
19227,Magnetic Resonance Imaging Technologists,Provide headphones or earplugs to patients to improve comfort and reduce unpleasant noise.
19045,Judicial Law Clerks,Communicate with counsel regarding case management or procedural requirements.
15863,Logistics Engineers,"Interview key staff or tour facilities to identify efficiency-improvement, cost-reduction, or service-delivery opportunities."
22630,"News Analysts, Reporters, and Journalists","Gather information and develop perspectives about news subjects through research, interviews, observation, and experience."
9384,Orthotists and Prosthetists,"Fit, test, and evaluate devices on patients, and make adjustments for proper fit, function, and comfort."
6842,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Guide and counsel students with adjustment or academic problems or special academic interests.
9195,Marriage and Family Therapists,"Gather information from doctors, schools, social workers, juvenile counselors, law enforcement personnel, and others to make recommendations to courts for resolution of child custody or visitation disputes."
6946,Psychiatric Technicians,"Observe and influence patients' behavior, communicating and interacting with them and teaching, counseling, or befriending them."
275,Mental Health and Substance Abuse Social Workers,"Collaborate with counselors, physicians, or nurses to plan or coordinate treatment, drawing on social work experience and patient needs."
20966,Civil Engineering Technologists and Technicians,Negotiate with contractors on prices for new contracts or modifications to existing contracts.
2002,Psychiatric Aides,Interview patients upon admission and record information.
1831,Psychiatrists,Counsel outpatients or other patients during office visits.
7361,Tax Preparers,Interview clients to obtain additional information on taxable income and deductible expenses and allowances.
18940,Credit Counselors,"Maintain or update records of client account activity, including financial transactions, counseling session notes, correspondence, document images, or client inquiries."
19181,Music Therapists,"Communicate with clients to build rapport, acknowledge their progress, or reflect upon their reactions to musical experiences."
1827,Psychiatrists,Analyze and evaluate patient data or test findings to diagnose nature or extent of mental disorder.
18364,Nurse Anesthetists,"Prepare prescribed solutions and administer local, intravenous, spinal, or other anesthetics, following specified methods and procedures."
7065,Cement Masons and Concrete Finishers,"Sprinkle colored marble or stone chips, powdered steel, or coloring powder over surface to produce prescribed finish."
18454,Nurse Midwives,Prescribe medications as permitted by state regulations.
9960,Aircraft Mechanics and Service Technicians,Read and interpret pilots' descriptions of problems to diagnose causes.
22888,Medical Records Specialists,"Resolve or clarify codes or diagnoses with conflicting, missing, or unclear information by consulting with doctors or others or by participating in the coding team's regular meetings."
340,Optometrists,Prescribe medications to treat eye diseases if state laws permit.
17260,Sports Medicine Physicians,"Develop and prescribe exercise programs, such as off-season conditioning regimens."
2874,Electricians,"Diagnose malfunctioning systems, apparatus, or components, using test equipment and hand tools to locate the cause of a breakdown and correct the problem."
16505,Microsystems Engineers,"Conduct analyses addressing issues such as failure, reliability, or yield improvement."
17216,Preventive Medicine Physicians,Evaluate the effectiveness of prescribed risk reduction measures or other interventions.
